Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,65.98,11.02,733.37,2,46.65,5.55601171724445,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,34.53,13.98,914.11,1,17.55,5.55601171724445,Weekday,Morning Peak,0,08:30:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,34.45,10.07,653.04,2,18.28,5.55601171724445,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,33.87,10.07,653.04,2,18.28,5.55601171724445,Weekday,Lunch Peak,0,13:00:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,34.87,10.07,653.04,2,18.28,5.55601171724445,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,33.37,10.07,653.04,2,18.28,5.55601171724445,Weekday,Evening Peak,0,18:30:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,33.87,10.07,653.04,2,18.28,5.55601171724445,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,33.95,10.07,653.04,2,18.28,5.55601171724445,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,65.98,11.02,733.37,2,46.65,5.55601171724445,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,34.53,13.98,914.11,1,17.55,5.55601171724445,Weekend,Morning Peak,0,08:30:00,0,1,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,34.45,10.07,653.04,2,18.28,5.55601171724445,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Tuas,Tengeh,1.338476477,103.6502486,PIONEER POLYCLINIC,1.338732,103.700228,33.87,10.07,653.04,2,18.28,5.55601171724445,Weekend,Lunch Peak,0,13:00:00,0,1,0
